INFO:root:Trial - Mean Train RMSE: 0.012195450402921984, Mean Val RMSE: 0.046480597851257494, Mean R2: 0.07826808852029733, Params: {'learning_rate': 0.03700910389219214, 'max_depth': 15, 'gamma': 0.039869191687270884, 'min_child_weight': 8.199001053769642, 'colsample_bytree': 0.7808351020590852, 'max_leaves': 74, 'subsample': 0.7665708775453693, 'reg_alpha': 0.8216856111276868, 'reg_lambda': 1.8284180082473152, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.005126491476567838, Mean Val RMSE: 0.04199302505365044, Mean R2: 0.07073088510946174, Params: {'learning_rate': 0.06935774552486913, 'max_depth': 11, 'gamma': 0.0004238222342355753, 'min_child_weight': 3.7091459007003293, 'colsample_bytree': 0.7317707039905398, 'max_leaves': 122, 'subsample': 0.5202149175860857, 'reg_alpha': 1.1820547126095544, 'reg_lambda': 9.108925116674214, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.08213241711958222, Mean Val RMSE: 0.09874366362935155, Mean R2: 0.16634682400010994, Params: {'learning_rate': 0.017098410817030077, 'max_depth': 13, 'gamma': 0.5082710684441926, 'min_child_weight': 3.084716233919777, 'colsample_bytree': 0.8271337377444129, 'max_leaves': 115, 'subsample': 0.7670532226992559, 'reg_alpha': 9.233619630602886, 'reg_lambda': 4.738411388128879, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.0502295331733897, Mean Val RMSE: 0.07603544065876447, Mean R2: 0.12807984327785593, Params: {'learning_rate': 0.024459721775547297, 'max_depth': 11, 'gamma': 2.4342599821987847e-05, 'min_child_weight': 2.6316520830743606, 'colsample_bytree': 0.6402910326639899, 'max_leaves': 114, 'subsample': 0.6123454250348607, 'reg_alpha': 9.5987402026108, 'reg_lambda': 1.2646902081654963, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.025863880484252977, Mean Val RMSE: 0.05670116263828404, Mean R2: 0.09548617929692231, Params: {'learning_rate': 0.02488191177928212, 'max_depth': 7, 'gamma': 0.047868810582173016, 'min_child_weight': 10.414451013503085, 'colsample_bytree': 0.8225558418700268, 'max_leaves': 126, 'subsample': 0.9134621846241744, 'reg_alpha': 0.6636821865943302, 'reg_lambda': 9.715685569110732, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.13650382658832397, Mean Val RMSE: 0.14247142583486183, Mean R2: 0.24001148752561724, Params: {'learning_rate': 0.005704919524170977, 'max_depth': 4, 'gamma': 0.0006303776628503578, 'min_child_weight': 1.105943952136895, 'colsample_bytree': 0.6469591915282479, 'max_leaves': 27, 'subsample': 0.6334086937998472, 'reg_alpha': 2.6592402571905325, 'reg_lambda': 8.746059356685816, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.09985245205092552, Mean Val RMSE: 0.11258556282877527, Mean R2: 0.1896724567382369, Params: {'learning_rate': 0.008956183456464215, 'max_depth': 7, 'gamma': 0.3995688629257648, 'min_child_weight': 9.630512014182441, 'colsample_bytree': 0.9274840767882143, 'max_leaves': 35, 'subsample': 0.5892365443947158, 'reg_alpha': 7.7259971767403615, 'reg_lambda': 4.79905350408394, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.23357875665887198, Mean Val RMSE: 0.24225268911527756, Mean R2: 0.4078723011415607, Params: {'learning_rate': 0.0012337844982454646, 'max_depth': 13, 'gamma': 0.004082290419985615, 'min_child_weight': 4.340200611216358, 'colsample_bytree': 0.5680106964829287, 'max_leaves': 142, 'subsample': 0.5713256821778758, 'reg_alpha': 1.711359586431334, 'reg_lambda': 0.8894899869352203, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.2323088602427596, Mean Val RMSE: 0.2356769720243422, Mean R2: 0.39684768915339175, Params: {'learning_rate': 0.0015426687913325159, 'max_depth': 5, 'gamma': 0.000528288095416472, 'min_child_weight': 6.87824700367749, 'colsample_bytree': 0.539349924949485, 'max_leaves': 26, 'subsample': 0.7132034794980098, 'reg_alpha': 0.5189185174399464, 'reg_lambda': 0.9930156955921111, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.042225885693567375, Mean Val RMSE: 0.06910839202549668, Mean R2: 0.1163826585225507, Params: {'learning_rate': 0.023170558205320924, 'max_depth': 6, 'gamma': 1.8873387777147897e-05, 'min_child_weight': 8.7285920217309, 'colsample_bytree': 0.8461057122115985, 'max_leaves': 44, 'subsample': 0.6840825046286474, 'reg_alpha': 2.1191145345233506, 'reg_lambda': 2.6288374044665614, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.11265808935725527, Mean Val RMSE: 0.12426184411951283, Mean R2: 0.20929198900809526, Params: {'learning_rate': 0.0048704499601572885, 'max_depth': 7, 'gamma': 0.4683325234934938, 'min_child_weight': 11.548635945547497, 'colsample_bytree': 0.535705609567082, 'max_leaves': 116, 'subsample': 0.9562822232748701, 'reg_alpha': 4.571802732837831, 'reg_lambda': 5.720151517146367, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.08816299396903374, Mean Val RMSE: 0.10541024432410293, Mean R2: 0.1775115927935424, Params: {'learning_rate': 0.004861320746977655, 'max_depth': 10, 'gamma': 0.009519608511142886, 'min_child_weight': 5.009649003409181, 'colsample_bytree': 0.931618332828496, 'max_leaves': 83, 'subsample': 0.7553657132769969, 'reg_alpha': 1.3552039603632007, 'reg_lambda': 5.5050330475271885, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.004256299120655237, Mean Val RMSE: 0.04698495566287434, Mean R2: 0.07916942943013767, Params: {'learning_rate': 0.2768834795928196, 'max_depth': 12, 'gamma': 3.542639909756532e-05, 'min_child_weight': 15.829463256331966, 'colsample_bytree': 0.7296690735259943, 'max_leaves': 116, 'subsample': 0.6151561384691053, 'reg_alpha': 2.6688221541399777, 'reg_lambda': 1.3439669378218289, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.27046345506139985, Mean Val RMSE: 0.27394378277509013, Mean R2: 0.4612378186905338, Params: {'learning_rate': 0.0010130635646322522, 'max_depth': 6, 'gamma': 0.0006689397667840756, 'min_child_weight': 2.794702693276537, 'colsample_bytree': 0.991524818312805, 'max_leaves': 107, 'subsample': 0.5851998255983902, 'reg_alpha': 1.007176897684298, 'reg_lambda': 0.6449262914201108, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.048183586182746305, Mean Val RMSE: 0.07396619320869477, Mean R2: 0.1245719005024221, Params: {'learning_rate': 0.031049853098321544, 'max_depth': 6, 'gamma': 0.025357575738172565, 'min_child_weight': 1.6479496487914307, 'colsample_bytree': 0.826926188468731, 'max_leaves': 98, 'subsample': 0.7613874435991691, 'reg_alpha': 6.8390105924863835, 'reg_lambda': 2.449474408765618, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.2393700675552381, Mean Val RMSE: 0.24474341295892463, Mean R2: 0.41209009654827644, Params: {'learning_rate': 0.0013508507424580963, 'max_depth': 8, 'gamma': 0.00010188872826292934, 'min_child_weight': 1.341229785826625, 'colsample_bytree': 0.7846066739377355, 'max_leaves': 96, 'subsample': 0.7208487671547997, 'reg_alpha': 4.978252243945463, 'reg_lambda': 1.6913109987851347, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.21808638283110318, Mean Val RMSE: 0.22217134288080417, Mean R2: 0.3741132800289877, Params: {'learning_rate': 0.0017438720100439956, 'max_depth': 12, 'gamma': 0.1810619905601396, 'min_child_weight': 1.1958225433003926, 'colsample_bytree': 0.6882847350395226, 'max_leaves': 28, 'subsample': 0.778951894006761, 'reg_alpha': 0.8092217593338743, 'reg_lambda': 3.36771592651661, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.14486560223561226, Mean Val RMSE: 0.15539620451661884, Mean R2: 0.2616674007100842, Params: {'learning_rate': 0.0028730073790755786, 'max_depth': 7, 'gamma': 0.18876615925606174, 'min_child_weight': 3.2983242508937285, 'colsample_bytree': 0.5219430835614405, 'max_leaves': 100, 'subsample': 0.7350140687628094, 'reg_alpha': 1.4878344793880671, 'reg_lambda': 1.8004048521866676, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.019561226586822696, Mean Val RMSE: 0.051893900711441884, Mean R2: 0.08739665080695616, Params: {'learning_rate': 0.02512684611121643, 'max_depth': 14, 'gamma': 1.726701696848701e-05, 'min_child_weight': 15.082637501142012, 'colsample_bytree': 0.5115922629472497, 'max_leaves': 81, 'subsample': 0.8965617257705175, 'reg_alpha': 0.8879906008880148, 'reg_lambda': 9.961815530147792, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.1343791852974565, Mean Val RMSE: 0.14642272434440637, Mean R2: 0.24654715806276578, Params: {'learning_rate': 0.0029640102421446086, 'max_depth': 10, 'gamma': 0.8219470352029759, 'min_child_weight': 3.107276662768723, 'colsample_bytree': 0.9272998280164672, 'max_leaves': 62, 'subsample': 0.6789484983825035, 'reg_alpha': 1.2957028598509546, 'reg_lambda': 4.577631990452586, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.02252886062806741, Mean Val RMSE: 0.05661232417157902, Mean R2: 0.09535930914873242, Params: {'learning_rate': 0.06466180655873316, 'max_depth': 5, 'gamma': 0.009957712523404, 'min_child_weight': 2.755747363622559, 'colsample_bytree': 0.5407521376986724, 'max_leaves': 40, 'subsample': 0.5605714903739348, 'reg_alpha': 1.1982571677050275, 'reg_lambda': 0.5146530810154553, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.05631872891297081, Mean Val RMSE: 0.08031717695582986, Mean R2: 0.1352845108832918, Params: {'learning_rate': 0.03292301214739456, 'max_depth': 13, 'gamma': 0.3604392755778559, 'min_child_weight': 3.7803778702249393, 'colsample_bytree': 0.5050317379097584, 'max_leaves': 26, 'subsample': 0.71100819674177, 'reg_alpha': 0.8773871148343767, 'reg_lambda': 4.684912230531746, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.04238573391397112, Mean Val RMSE: 0.07077015101726658, Mean R2: 0.11916790791687276, Params: {'learning_rate': 0.10736338229878127, 'max_depth': 6, 'gamma': 0.30447160841976506, 'min_child_weight': 10.46334958705495, 'colsample_bytree': 0.6653529444781154, 'max_leaves': 46, 'subsample': 0.5308600427326633, 'reg_alpha': 0.7961407543896883, 'reg_lambda': 9.375310883614448, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.0046002642949422076, Mean Val RMSE: 0.0416137854087329, Mean R2: 0.07008238944282616, Params: {'learning_rate': 0.08555762639952172, 'max_depth': 10, 'gamma': 0.00971952001193992, 'min_child_weight': 3.7062074999510775, 'colsample_bytree': 0.5776273779838059, 'max_leaves': 104, 'subsample': 0.7452759848239138, 'reg_alpha': 0.713594710785052, 'reg_lambda': 5.537973287631113, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.19594416682851593, Mean Val RMSE: 0.20076678149422306, Mean R2: 0.33808032331113325, Params: {'learning_rate': 0.0022162832041380336, 'max_depth': 7, 'gamma': 1.42897354622245e-05, 'min_child_weight': 13.94212550655177, 'colsample_bytree': 0.906854057915307, 'max_leaves': 113, 'subsample': 0.6494194052091148, 'reg_alpha': 7.423167829845864, 'reg_lambda': 2.756159767352327, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.00814447235019815, Mean Val RMSE: 0.045379881695052485, Mean R2: 0.07641524265614691, Params: {'learning_rate': 0.15099996872671068, 'max_depth': 13, 'gamma': 3.4536931750605107e-05, 'min_child_weight': 5.174301396000138, 'colsample_bytree': 0.7599146317633864, 'max_leaves': 70, 'subsample': 0.7644504050478144, 'reg_alpha': 4.056006468562388, 'reg_lambda': 9.233389268397493, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.09945344021793848, Mean Val RMSE: 0.1123027455757711, Mean R2: 0.18919073263186792, Params: {'learning_rate': 0.09918221163809478, 'max_depth': 6, 'gamma': 0.8227398786873005, 'min_child_weight': 2.11616492237577, 'colsample_bytree': 0.5974332179010421, 'max_leaves': 116, 'subsample': 0.5507850552592433, 'reg_alpha': 5.805481793819478, 'reg_lambda': 4.938484415797451, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.23550866350036684, Mean Val RMSE: 0.24339131890519744, Mean R2: 0.4097935883840581, Params: {'learning_rate': 0.0012319153143411582, 'max_depth': 12, 'gamma': 0.010546396092046172, 'min_child_weight': 2.5481737937347178, 'colsample_bytree': 0.5003570982179111, 'max_leaves': 109, 'subsample': 0.6691376468868545, 'reg_alpha': 0.7970143515584813, 'reg_lambda': 0.6572851274621371, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.214195608475096, Mean Val RMSE: 0.21663834209953586, Mean R2: 0.3648094896663274, Params: {'learning_rate': 0.0019914425338120943, 'max_depth': 5, 'gamma': 3.9442315142539246, 'min_child_weight': 5.065416538301306, 'colsample_bytree': 0.6197419059048828, 'max_leaves': 78, 'subsample': 0.5485143373314735, 'reg_alpha': 0.7569022242975596, 'reg_lambda': 1.3074591442350385, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.232798075545191, Mean Val RMSE: 0.23755588989159077, Mean R2: 0.39999463812021807, Params: {'learning_rate': 0.001476310057213339, 'max_depth': 7, 'gamma': 0.12873314378867087, 'min_child_weight': 2.11858310468706, 'colsample_bytree': 0.9528912305371509, 'max_leaves': 54, 'subsample': 0.7131969248318254, 'reg_alpha': 5.289395769477453, 'reg_lambda': 0.614904951043016, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.20655014891210985, Mean Val RMSE: 0.21038949415080888, Mean R2: 0.354283295038352, Params: {'learning_rate': 0.002030271971582299, 'max_depth': 5, 'gamma': 0.006541578551244938, 'min_child_weight': 17.12635111936391, 'colsample_bytree': 0.6460981759756155, 'max_leaves': 22, 'subsample': 0.9695230091045727, 'reg_alpha': 1.240343276570349, 'reg_lambda': 9.231139840830188, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.028223078932048035, Mean Val RMSE: 0.05982220363253539, Mean R2: 0.10075128891172627, Params: {'learning_rate': 0.04269212878181778, 'max_depth': 6, 'gamma': 0.13582730192364498, 'min_child_weight': 2.254550886565164, 'colsample_bytree': 0.6081415233442924, 'max_leaves': 37, 'subsample': 0.6295607206228071, 'reg_alpha': 0.6490869324201954, 'reg_lambda': 1.541549563529163, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.03285288891753939, Mean Val RMSE: 0.06180542983275746, Mean R2: 0.10410129480359519, Params: {'learning_rate': 0.015001962626677242, 'max_depth': 8, 'gamma': 3.819112427197629e-05, 'min_child_weight': 7.746383098459241, 'colsample_bytree': 0.6862164702398029, 'max_leaves': 80, 'subsample': 0.5974564199955794, 'reg_alpha': 1.104111279788429, 'reg_lambda': 0.6992243234824248, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.08327450640600893, Mean Val RMSE: 0.09970305519127481, Mean R2: 0.1679259957660207, Params: {'learning_rate': 0.005834197189031279, 'max_depth': 14, 'gamma': 1.0659865836295987, 'min_child_weight': 1.542363999589998, 'colsample_bytree': 0.669358535042832, 'max_leaves': 47, 'subsample': 0.8418146239352767, 'reg_alpha': 0.7349015996217604, 'reg_lambda': 2.2178181627351194, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.10574331492360674, Mean Val RMSE: 0.11702953407910906, Mean R2: 0.19716216432025593, Params: {'learning_rate': 0.04250858969894604, 'max_depth': 5, 'gamma': 1.1282614114895584, 'min_child_weight': 9.980551112016004, 'colsample_bytree': 0.9505979859738352, 'max_leaves': 136, 'subsample': 0.8408366554693958, 'reg_alpha': 7.409238964394895, 'reg_lambda': 0.7926697495512426, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.011419225482242081, Mean Val RMSE: 0.04581734640451242, Mean R2: 0.077166875946723, Params: {'learning_rate': 0.02588761453108803, 'max_depth': 14, 'gamma': 0.0003474831676391678, 'min_child_weight': 1.0994024411848815, 'colsample_bytree': 0.5983729836563116, 'max_leaves': 142, 'subsample': 0.9012680810929238, 'reg_alpha': 2.0458686894308373, 'reg_lambda': 1.422419090585205, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.03671983316377504, Mean Val RMSE: 0.06539805640716996, Mean R2: 0.11015581881306671, Params: {'learning_rate': 0.018773928653465655, 'max_depth': 15, 'gamma': 6.158348981764118e-05, 'min_child_weight': 4.305729729464392, 'colsample_bytree': 0.8314233341231322, 'max_leaves': 93, 'subsample': 0.5204384438859124, 'reg_alpha': 3.8143147755718863, 'reg_lambda': 5.043354313106942, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.1190288035154479, Mean Val RMSE: 0.1275110041529324, Mean R2: 0.214826103140905, Params: {'learning_rate': 0.020275696474529713, 'max_depth': 3, 'gamma': 0.0034401467824758387, 'min_child_weight': 12.243260915181375, 'colsample_bytree': 0.8067056377553556, 'max_leaves': 71, 'subsample': 0.6595739981451948, 'reg_alpha': 9.144297879896273, 'reg_lambda': 8.722108846746222, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.08761091603182088, Mean Val RMSE: 0.10400991820832176, Mean R2: 0.17518074827929048, Params: {'learning_rate': 0.0058806557668832585, 'max_depth': 7, 'gamma': 0.07789558861644115, 'min_child_weight': 2.3191202356396454, 'colsample_bytree': 0.6735846654406425, 'max_leaves': 115, 'subsample': 0.5470486521886387, 'reg_alpha': 1.0345826333075474, 'reg_lambda': 5.424798375632049, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.16441281339528385, Mean Val RMSE: 0.17120494245750467, Mean R2: 0.28831934359784694, Params: {'learning_rate': 0.0027343335065564134, 'max_depth': 15, 'gamma': 0.0005270269084148351, 'min_child_weight': 1.9977807434047576, 'colsample_bytree': 0.6159197122257845, 'max_leaves': 35, 'subsample': 0.7877929735554962, 'reg_alpha': 0.6826888855261253, 'reg_lambda': 0.5271788963292339, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.006404163939387887, Mean Val RMSE: 0.04143954502601402, Mean R2: 0.06979459846973708, Params: {'learning_rate': 0.02588761453108803, 'max_depth': 14, 'gamma': 0.0003474831676391678, 'min_child_weight': 6.928372714631556, 'colsample_bytree': 0.5983729836563116, 'max_leaves': 142, 'subsample': 0.9012680810929238, 'reg_alpha': 0.6826888855261253, 'reg_lambda': 0.5271788963292339, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.10580508715420897, Mean Val RMSE: 0.11723774351877565, Mean R2: 0.19752119619750982, Params: {'learning_rate': 0.06466180655873316, 'max_depth': 7, 'gamma': 0.7391616898129001, 'min_child_weight': 2.755747363622559, 'colsample_bytree': 0.5407521376986724, 'max_leaves': 40, 'subsample': 0.5605714903739348, 'reg_alpha': 9.233619630602886, 'reg_lambda': 0.5146530810154553, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.14010033637479785, Mean Val RMSE: 0.1443296199616691, Mean R2: 0.24315770778536364, Params: {'learning_rate': 0.0072542654622926705, 'max_depth': 3, 'gamma': 0.010546396092046172, 'min_child_weight': 15.222375917499875, 'colsample_bytree': 0.5003570982179111, 'max_leaves': 109, 'subsample': 0.6691376468868545, 'reg_alpha': 0.7970143515584813, 'reg_lambda': 1.8975309540228933, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.0025585438205866975, Mean Val RMSE: 0.04342250650842209, Mean R2: 0.07314403192632625, Params: {'learning_rate': 0.20510647760862663, 'max_depth': 6, 'gamma': 1.8873387777147897e-05, 'min_child_weight': 10.46334958705495, 'colsample_bytree': 0.8461057122115985, 'max_leaves': 46, 'subsample': 0.6840825046286474, 'reg_alpha': 0.7961407543896883, 'reg_lambda': 2.6288374044665614, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.06084508134472185, Mean Val RMSE: 0.08314973767126309, Mean R2: 0.14005120884094469, Params: {'learning_rate': 0.018773928653465655, 'max_depth': 7, 'gamma': 0.00012160688688901885, 'min_child_weight': 4.305729729464392, 'colsample_bytree': 0.8314233341231322, 'max_leaves': 35, 'subsample': 0.5892365443947158, 'reg_alpha': 3.8143147755718863, 'reg_lambda': 0.7399951968207438, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.2687267508207206, Mean Val RMSE: 0.2722866385489509, Mean R2: 0.45844213645938126, Params: {'learning_rate': 0.0010130635646322522, 'max_depth': 6, 'gamma': 0.0006689397667840756, 'min_child_weight': 1.542363999589998, 'colsample_bytree': 0.991524818312805, 'max_leaves': 107, 'subsample': 0.8418146239352767, 'reg_alpha': 0.7349015996217604, 'reg_lambda': 0.6449262914201108, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.07356702601100132, Mean Val RMSE: 0.09175620025818704, Mean R2: 0.15458029068934206, Params: {'learning_rate': 0.018773928653465655, 'max_depth': 15, 'gamma': 0.8219470352029759, 'min_child_weight': 3.107276662768723, 'colsample_bytree': 0.8314233341231322, 'max_leaves': 62, 'subsample': 0.5204384438859124, 'reg_alpha': 1.2957028598509546, 'reg_lambda': 5.043354313106942, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.07447308278282033, Mean Val RMSE: 0.09353802677781475, Mean R2: 0.1575417454590496, Params: {'learning_rate': 0.024459721775547297, 'max_depth': 5, 'gamma': 2.4342599821987847e-05, 'min_child_weight': 17.80816228856395, 'colsample_bytree': 0.8719943034487608, 'max_leaves': 114, 'subsample': 0.8408366554693958, 'reg_alpha': 9.5987402026108, 'reg_lambda': 1.2646902081654963, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.006368043371960601, Mean Val RMSE: 0.0470190552405718, Mean R2: 0.07921274885029295, Params: {'learning_rate': 0.26162127092790893, 'max_depth': 15, 'gamma': 5.993771016698567e-05, 'min_child_weight': 3.084716233919777, 'colsample_bytree': 0.5933561755809731, 'max_leaves': 115, 'subsample': 0.6472830902639308, 'reg_alpha': 4.0300683667270745, 'reg_lambda': 6.353923577150172, 'device': 'cuda'}
INFO:root:Trial - Mean Train RMSE: 0.06507857820905669, Mean Val RMSE: 0.08662516175074308, Mean R2: 0.14587980161118413, Params: {'learning_rate': 0.20928193794397962, 'max_depth': 12, 'gamma': 0.3995688629257648, 'min_child_weight': 16.985132730203816, 'colsample_bytree': 0.7085294158048987, 'max_leaves': 35, 'subsample': 0.506992894185473, 'reg_alpha': 4.263667045428324, 'reg_lambda': 3.3550729205825416, 'device': 'cuda'}
